hex,dec,message
571,1393,"DISK_CORRUPT: The disk structure is corrupted and unreadable"
572,1394,"NO_USER_SESSION_KEY: There is no user session key for the specified logon session"
573,1395,"LICENSE_QUOTA_EXCEEDED: The service being accessed is licensed for a particular number of connections. No more connections can be made to the service at this time because there are already as many connections as the service can accept"
574,1396,"Anmeldung fehlgeschlagen: Logon Failure: The target account name is incorrect"
575,1397,"Mutual Authentication failed. The server's password is out of date at the domain controller"
576,1398,"There is a time and/or date difference between the client and server"
577,1399,"This operation can not be performed on the current domain"
578,1400,"INVALID_WINDOW_HANDLE: Invalid window handle"
579,1401,"INVALID_MENU_HANDLE: Invalid menu handle"
57A,1402,"INVALID_CURSOR_HANDLE: Invalid cursor handle"
57B,1403,"INVALID_ACCEL_HANDLE: Invalid accelerator table handle"
57C,1404,"INVALID_HOOK_HANDLE: Invalid hook handle"
57D,1405,"INVALID_DWP_HANDLE: Invalid handle to a multiple-window position structure"
57E,1406,"TLW_WITH_WSCHILD: Cannot create a top-level child window"
57F,1407,"CANNOT_FIND_WND_CLASS: Cannot find window class"
580,1408,"WINDOW_OF_OTHER_THREAD: Invalid window; it belongs to other thread"
581,1409,"HOTKEY_ALREADY_REGISTERED: Hot key is already registered"
582,1410,"CLASS_ALREADY_EXISTS: Class already exists"
583,1411,"CLASS_DOES_NOT_EXIST: Class does not exist"
584,1412,"CLASS_HAS_WINDOWS: Class still has open windows"
585,1413,"INVALID_INDEX: Invalid index"
586,1414,"INVALID_ICON_HANDLE: Invalid icon handle"
587,1415,"PRIVATE_DIALOG_INDEX: Using private DIALOG window words"
588,1416,"LISTBOX_ID_NOT_FOUND: The list box identifier was not found"
589,1417,"NO_WILDCARD_CHARACTERS: No wildcards were found"
58A,1418,"CLIPBOARD_NOT_OPEN: Thread does not have a clipboard open"
58B,1419,"HOTKEY_NOT_REGISTERED: Hot key is not registered"
58C,1420,"WINDOW_NOT_DIALOG: The window is not a valid dialog window"
58D,1421,"CONTROL_ID_NOT_FOUND: Control ID not found"
58E,1422,"INVALID_COMBOBOX_MESSAGE: Invalid message for a combo box because it does not have an edit control"
58F,1423,"WINDOW_NOT_COMBOBOX: The window is not a combo box"
590,1424,"INVALID_EDIT_HEIGHT: Height must be less than 256"
591,1425,"DC_NOT_FOUND: Invalid device context (DC) handle"
592,1426,"INVALID_HOOK_FILTER: Invalid hook procedure type"
593,1427,"INVALID_FILTER_PROC: Invalid hook procedure"
594,1428,"HOOK_NEEDS_HMOD: Cannot set nonlocal hook without a module handle"
595,1429,"GLOBAL_ONLY_HOOK: This hook procedure can only be set globally"
596,1430,"JOURNAL_HOOK_SET: The journal hook procedure is already installed"
597,1431,"HOOK_NOT_INSTALLED: The hook procedure is not installed"
598,1432,"INVALID_LB_MESSAGE: Invalid message for single-selection list box"
599,1433,"SETCOUNT_ON_BAD_LB: LB_SETCOUNT sent to non-lazy list box"
59A,1434,"LB_WITHOUT_TABSTOPS: This list box does not support tab stops"
59B,1435,"DESTROY_OBJECT_OF_OTHER_THREAD: Cannot destroy object created by another thread"
59C,1436,"CHILD_WINDOW_MENU: Child windows cannot have menus"
59D,1437,"NO_SYSTEM_MENU: The window does not have a system menu"
59E,1438,"INVALID_MSGBOX_STYLE: Invalid message box style"
59F,1439,"INVALID_SPI_VALUE: Invalid system-wide (SPI_*) parameter"
5A0,1440,"SCREEN_ALREADY_LOCKED: Screen already locked"
5A1,1441,"HWNDS_HAVE_DIFF_PARENT: All handles to windows in a multiple-window position structure must have the same parent"
5A2,1442,"NOT_CHILD_WINDOW: The window is not a child window"
5A3,1443,"INVALID_GW_COMMAND: Invalid GW_* command"
5A4,1444,"INVALID_THREAD_ID: Invalid thread identifier"
5A5,1445,"NON_MDICHILD_WINDOW: Cannot process a message from a window that is not a multiple document interface (MDI) window"
5A6,1446,"POPUP_ALREADY_ACTIVE: Popup menu already active"
5A7,1447,"NO_SCROLLBARS: The window does not have scroll bars"
5A8,1448,"INVALID_SCROLLBAR_RANGE: Scroll bar range cannot be greater than MAXLONG"
5A9,1449,"INVALID_SHOWWIN_COMMAND: Cannot show or remove the window in the way specified"
5AA,1450,"NO_SYSTEM_RESOURCES: Insufficient system resources exist to complete the requested service"
5AB,1451,"NONPAGED_SYSTEM_RESOURCES: Insufficient system resources exist to complete the requested service"
5AC,1452,"PAGED_SYSTEM_RESOURCES: Insufficient system resources exist to complete the requested service"
5AD,1453,"WORKING_SET_QUOTA: Insufficient quota to complete the requested service"
5AE,1454,"PAGEFILE_QUOTA: Insufficient quota to complete the requested service"
5AF,1455,"COMMITMENT_LIMIT: The paging file is too small for this operation to complete"
5B0,1456,"MENU_ITEM_NOT_FOUND: A menu item was not found"
5B1,1457,"INVALID_KEYBOARD_HANDLE: Invalid keyboard layout handle"
5B2,1458,"HOOK_TYPE_NOT_ALLOWED: Hook type not allowed"
5B3,1459,"REQUIRES_INTERACTIVE_WINDOWSTATION: This operation requires an interactive window station"
5B4,1460,"TIMEOUT: This operation returned because the timeout period expired"
5B5,1461,"Invalid monitor handle"
5DC,1500,"EVENTLOG_FILE_CORRUPT: The event log file is corrupted"
5DD,1501,"EVENTLOG_CANT_START: No event log file could be opened, so the event logging service did not start"
5DE,1502,"LOG_FILE_FULL: The event log file is full"
5DF,1503,"EVENTLOG_FILE_CHANGED: The event log file has changed between read operations"
641,1601,"The Windows Installer Service could not be accessed. This can occur if you are running Windows in safe mode, or if the Windows Installer is not correctly installed. Contact your support personnel for assistance"
642,1602,"User cancelled installation"
643,1603,"Fatal error during installation"
644,1604,"Installation suspended, incomplete"
645,1605,"This action is only valid for products that are currently installed"
646,1606,"Feature ID not registered"
647,1607,"Component ID not registered"
648,1608,"Unknown property"
649,1609,"Handle is in an invalid state"
64A,1610,"The configuration data for this product is corrupt.  Contact your support personnel"
64B,1611,"Component qualifier not present"
64C,1612,"The installation source for this product is not available.  Verify that the source exists and that you can access it"
64D,1613,"This installation package cannot be installed by the Windows Installer service.  You must install a Windows service pack that contains a newer version of the Windows Installer service"
64E,1614,"Product is uninstalled"
64F,1615,"SQL query syntax invalid or unsupported"
650,1616,"Record field does not exist"
651,1617,"The device has been removed"
652,1618,"Another installation is already in progress.  Complete that installation before proceeding with this install"
653,1619,"This installation package could not be opened.  Verify that the package exists and that you can access it, or contact the application vendor to verify that this is a valid Windows Installer package"
654,1620,"This installation package could not be opened.  Contact the application vendor to verify that this is a valid Windows Installer package"
655,1621,"There was an error starting the Windows Installer service user interface.  Contact your support personnel"
656,1622,"Error opening installation log file. Verify that the specified log file location exists and that you can write to it"
657,1623,"The language of this installation package is not supported by your system"
658,1624,"Error applying transforms.  Verify that the specified transform paths are valid"
659,1625,"This installation is forbidden by system policy.  Contact your system administrator"
65A,1626,"Function could not be executed"
65B,1627,"Function failed during execution"
65C,1628,"Invalid or unknown table specified"
65D,1629,"Data supplied is of wrong type"
65E,1630,"Data of this type is not supported"
65F,1631,"The Windows Installer service failed to start.  Contact your support personnel"
660,1632,"The Temp folder is on a drive that is full or is inaccessible. Free up space on the drive or verify that you have write permission on the Temp folder"
661,1633,"This installation package is not supported by this processor type. Contact your product vendor"
662,1634,"Component not used on this computer"
663,1635,"This patch package could not be opened.  Verify that the patch package exists and that you can access it, or contact the application vendor to verify that this is a valid Windows Installer patch package"
664,1636,"This patch package could not be opened.  Contact the application vendor to verify that this is a valid Windows Installer patch package"
665,1637,"This patch package cannot be processed by the Windows Installer service.  You must install a Windows service pack that contains a newer version of the Windows Installer service"
666,1638,"Another version of this product is already installed.  Installation of this version cannot continue.  To configure or remove the existing version of this product, use Add/Remove Programs on the Control Panel"
667,1639,"Invalid command line argument.  Consult the Windows Installer SDK for detailed command line help"
668,1640,"Only administrators have permission to add, remove, or configure server software during a Terminal services remote session. If you want to install or configure software on the server, contact your network administrator"
669,1641,"The requested operation completed successfully.  The system will be restarted so the changes can take effect"
66B,1643,"The patch package is not permitted by software restriction policy"
66C,1644,"One or more customizations are not permitted by software restriction policy"
6A4,1700,"The string binding is invalid"
6A5,1701,"The binding handle is not the correct type"
6A6,1702,"The binding handle is invalid"
6A7,1703,"The RPC protocol sequence is not supported"
6A8,1704,"The RPC protocol sequence is invalid"
6A9,1705,"The string universal unique identifier (UUID) is invalid"
6AA,1706,"The endpoint format is invalid"
6AB,1707,"The network address is invalid"
6AC,1708,"No endpoint was found"
6AD,1709,"The timeout value is invalid"
6AE,1710,"The object universal unique identifier (UUID) was not found"
6AF,1711,"The object universal unique identifier (UUID) has already been registered"
6B0,1712,"The type universal unique identifier (UUID) has already been registered"
6B1,1713,"The RPC server is already listening"
6B2,1714,"No protocol sequences have been registered"
6B3,1715,"The RPC server is not listening"
6B4,1716,"The manager type is unknown"
6B5,1717,"The interface is unknown"
6B6,1718,"There are no bindings"
6B7,1719,"There are no protocol sequences"
6B8,1720,"The endpoint cannot be created"
6B9,1721,"Not enough resources are available to complete this operation"
6BA,1722,"The RPC server is unavailable"
6BB,1723,"The RPC server is too busy to complete this operation"
6BC,1724,"The network options are invalid"
6BD,1725,"There are no remote procedure calls active on this thread"
6BE,1726,"The remote procedure call failed"
6BF,1727,"The remote procedure call failed and did not execute"
6C0,1728,"A remote procedure call (RPC) protocol error occurred"
6C2,1730,"The transfer syntax is not supported by the RPC server"
6C4,1732,"The universal unique identifier (UUID) type is not supported"
6C5,1733,"The tag is invalid"
6C6,1734,"The array bounds are invalid"
6C7,1735,"The binding does not contain an entry name"
6C8,1736,"The name syntax is invalid"
6C9,1737,"The name syntax is not supported"
6CB,1739,"No network address is available to use to construct a universal unique identifier (UUID)"
6CC,1740,"The endpoint is a duplicate"
6CD,1741,"The authentication type is unknown"
6CE,1742,"The maximum number of calls is too small"
6CF,1743,"The string is too long"
6D0,1744,"The RPC protocol sequence was not found"
6D1,1745,"The procedure number is out of range"
6D2,1746,"The binding does not contain any authentication information"
6D3,1747,"The authentication service is unknown"
6D4,1748,"The authentication level is unknown"
6D5,1749,"The security context is invalid"
6D6,1750,"The authorization service is unknown"
6D7,1751,"The entry is invalid"
6D8,1752,"The server endpoint cannot perform the operation"
6D9,1753,"There are no more endpoints available from the endpoint mapper"
6DA,1754,"No interfaces have been exported"
6DB,1755,"The entry name is incomplete"
6DC,1756,"The version option is invalid"
6DD,1757,"There are no more members"
6DE,1758,"There is nothing to unexport"
6DF,1759,"The interface was not found"
6E0,1760,"The entry already exists"
6E1,1761,"The entry is not found"
6E2,1762,"The name service is unavailable"
6E3,1763,"The network address family is invalid"
6E4,1764,"The requested operation is not supported"
6E5,1765,"No security context is available to allow impersonation"
6E6,1766,"An internal error occurred in a remote procedure call (RPC)"
6E7,1767,"The RPC server attempted an integer division by zero"
6E8,1768,"An addressing error occurred in the RPC server"
6E9,1769,"A floating-point operation at the RPC server caused a division by zero"
6EA,1770,"A floating-point underflow occurred at the RPC server"
6EB,1771,"A floating-point overflow occurred at the RPC server"
6EC,1772,"The list of RPC servers available for the binding of auto handles has been exhausted"
6ED,1773,"Unable to open the character translation table file"
6EE,1774,"The file containing the character translation table has fewer than 512 bytes"
6EF,1775,"A null context handle was passed from the client to the host during a remote procedure call"
6F1,1777,"The context handle changed during a remote procedure call"
6F2,1778,"The binding handles passed to a remote procedure call do not match"
6F3,1779,"The stub is unable to get the remote procedure call handle"
6F4,1780,"A null reference pointer was passed to the stub"
6F5,1781,"The enumeration value is out of range"
6F6,1782,"The byte count is too small"
6F7,1783,"The stub received bad data"
6F8,1784,"INVALID_USER_BUFFER: The supplied user buffer is not valid for the requested operation"
6F9,1785,"UNRECOGNIZED_MEDIA: The disk media is not recognized. It may not be formatted"
6FA,1786,"NO_TRUST_LSA_SECRET: The workstation does not have a trust secret"
6FB,1787,"NO_TRUST_SAM_ACCOUNT: The security database on the server does not have a computer account for this workstation trust relationship"
6FC,1788,"TRUSTED_DOMAIN_FAILURE: The trust relationship between the primary domain and the trusted domain failed"
6FD,1789,"TRUSTED_RELATIONSHIP_FAILURE: The trust relationship between this workstation and the primary domain failed"
6FE,1790,"TRUST_FAILURE: The network logon failed"
6FF,1791,"A remote procedure call is already in progress for this thread"
700,1792,"NETLOGON_NOT_STARTED: An attempt was made to logon, but the network logon service was not started"
701,1793,"ACCOUNT_EXPIRED: The user's account has expired"
702,1794,"REDIRECTOR_HAS_OPEN_HANDLES: The redirector is in use and cannot be unloaded"
703,1795,"PRINTER_DRIVER_ALREADY_INSTALLED: The specified printer driver is already installed"
704,1796,"UNKNOWN_PORT: The specified port is unknown"
705,1797,"UNKNOWN_PRINTER_DRIVER: The printer driver is unknown"
706,1798,"UNKNOWN_PRINTPROCESSOR: The print processor is unknown"
707,1799,"INVALID_SEPARATOR_FILE: The specified separator file is invalid"
708,1800,"INVALID_PRIORITY: The specified priority is invalid"
709,1801,"INVALID_PRINTER_NAME: The printer name is invalid"
70A,1802,"PRINTER_ALREADY_EXISTS: The printer already exists"
70B,1803,"INVALID_PRINTER_COMMAND: The printer command is invalid"
70C,1804,"INVALID_DATATYPE: The specified datatype is invalid"
70D,1805,"INVALID_ENVIRONMENT: The environment specified is invalid"
70E,1806,"There are no more bindings"
70F,1807,"NOLOGON_INTERDOMAIN_TRUST_ACCOUNT: The account used is an interdomain trust account. Use your global user account or local user account to access this server"
710,1808,"NOLOGON_WORKSTATION_TRUST_ACCOUNT: The account used is a computer account. Use your global user account or local user account to access this server"
711,1809,"NOLOGON_SERVER_TRUST_ACCOUNT: The account used is a server trust account. Use your global user account or local user account to access this server"
712,1810,"DOMAIN_TRUST_INCONSISTENT: The name or security ID (SID) of the domain specified is inconsistent with the trust information for that domain"
713,1811,"SERVER_HAS_OPEN_HANDLES: The server is in use and cannot be unloaded"
714,1812,"RESOURCE_DATA_NOT_FOUND: The specified image file did not contain a resource section"
715,1813,"RESOURCE_TYPE_NOT_FOUND: The specified resource type cannot be found in the image file"
716,1814,"RESOURCE_NAME_NOT_FOUND: The specified resource name cannot be found in the image file"
717,1815,"RESOURCE_LANG_NOT_FOUND: The specified resource language ID cannot be found in the image file"
718,1816,"NOT_ENOUGH_QUOTA: Not enough quota is available to process this command"
719,1817,"No interfaces have been registered"
71A,1818,"The remote procedure call was cancelled"
71B,1819,"The binding handle does not contain all required information"
71C,1820,"A communications failure occurred during a remote procedure call"
71D,1821,"The requested authentication level is not supported"
71E,1822,"No principal name registered"
71F,1823,"The error specified is not a valid Windows RPC error code"
720,1824,"A UUID that is valid only on this computer has been allocated"
721,1825,"A security package specific error occurred"
722,1826,"Thread is not canceled"
723,1827,"Invalid operation on the encoding/decoding handle"
724,1828,"Incompatible version of the serializing package"
725,1829,"Incompatible version of the RPC stub"
726,1830,"The RPC pipe object is invalid or corrupted"
727,1831,"An invalid operation was attempted on an RPC pipe object"
728,1832,"Unsupported RPC pipe version"
76A,1898,"The group member was not found"
76B,1899,"The endpoint mapper database entry could not be created"
76C,1900,"The object universal unique identifier (UUID) is the nil UUID"
76D,1901,"INVALID_TIME: The specified time is invalid"
76E,1902,"INVALID_FORM_NAME: The specified form name is invalid"
76F,1903,"INVALID_FORM_SIZE: The specified form size is invalid"
770,1904,"ALREADY_WAITING: The specified printer handle is already being waited on"
771,1905,"PRINTER_DELETED: The specified printer has been deleted"
772,1906,"INVALID_PRINTER_STATE: The state of the printer is invalid"
773,1907,"PASSWORD_MUST_CHANGE: The user's password must be changed before logging on the first time"
774,1908,"DOMAIN_CONTROLLER_NOT_FOUND: Could not find the domain controller for this domain"
775,1909,"ACCOUNT_LOCKED_OUT: The referenced account is currently locked out and may not be logged on to"
776,1910,"The object exporter specified was not found"
777,1911,"The object specified was not found"
778,1912,"The object resolver set specified was not found"
779,1913,"Some data remains to be sent in the request buffer"
77A,1914,"Invalid asynchronous remote procedure call handle"
77B,1915,"Invalid asynchronous RPC call handle for this operation"
77C,1916,"The RPC pipe object has already been closed"
77D,1917,"The RPC call completed before all pipes were processed"
77E,1918,"No more data is available from the RPC pipe"
77F,1919,"No site name is available for this machine"
780,1920,"The file can not be accessed by the system"
781,1921,"The name of the file cannot be resolved by the system"
782,1922,"The entry is not of the expected type"
783,1923,"Not all object UUIDs could be exported to the specified entry"
784,1924,"Interface could not be exported to the specified entry"
785,1925,"The specified profile entry could not be added"
786,1926,"The specified profile element could not be added"
787,1927,"The specified profile element could not be removed"
788,1928,"The group element could not be added"
789,1929,"The group element could not be removed"
78A,1930,"The printer driver is not compatible with a policy enabled on your computer that blocks NT 4.0 drivers"
78B,1931,"The context has expired and can no longer be used"
7D0,2000,"The pixel format is invalid"
7D1,2001,"The specified driver is invalid"
7D2,2002,"The window style or class attribute is invalid for this operation"
7D3,2003,"The requested metafile operation is not supported"
7D4,2004,"The requested transformation operation is not supported"
7D5,2005,"The requested clipping operation is not supported"
7DA,2010,"The specified color management module is invalid"
7DB,2011,"The specified color profile is invalid"
7DC,2012,"The specified tag was not found"
7DD,2013,"A required tag is not present"
7DE,2014,"The specified tag is already present"
7DF,2015,"The specified color profile is not associated with any device"
7E0,2016,"The specified color profile was not found"
7E1,2017,"The specified color space is invalid"
7E2,2018,"Image Color Management is not enabled"
7E3,2019,"There was an error while deleting the color transform"
7E4,2020,"The specified color transform is invalid"
7E5,2021,"The specified transform does not match the bitmap's color space"
7E6,2022,"The specified named color index is not present in the profile"
836,2102,"NetNotStarted: The workstation driver is not installed"
837,2103,"UnknownServer: The server could not be located"
838,2104,"ShareMem: An internal error occurred.  The network cannot access a shared memory segment"
839,2105,"NoNetworkResource: A network resource shortage occurred"
83A,2106,"RemoteOnly: This operation is not supported on workstations"
83B,2107,"DevNotRedirected: The device is not connected"
83C,2108,"The network connection was made successfully, but the user had to be prompted for a password other than the one originally specified"
83D,2109,"The network connection was made successfully using default credentials"
842,2114,"ServerNotStarted: The Server service is not started"
843,2115,"ItemNotFound: The queue is empty"
844,2116,"UnknownDevDir: The device or directory does not exist"
845,2117,"RedirectedPath: The operation is invalid on a redirected resource"
846,2118,"DuplicateShare: The name has already been shared"
847,2119,"NoRoom: The server is currently out of the requested resource"
849,2121,"TooManyItems: Requested addition of items exceeds the maximum allowed"
84A,2122,"InvalidMaxUsers: The Peer service supports only two simultaneous users"
84B,2123,"BufTooSmall: The API return buffer is too small"
84F,2127,"RemoteErr: A remote API error occurred"
853,2131,"LanmanIniError: An error occurred when opening or reading the configuration file LANMAN.INI"
856,2134,"OS2IoctlError: An internal error occurred when calling the workstation driver"
858,2136,"NetworkError: A general network error occurred"
859,2137,"The Workstation service is in an inconsistent state. Restart the computer before restarting the Workstation service"
85A,2138,"WkstaNotStarted: The Workstation service has not been started"
85B,2139,"BrowserNotStarted: The requested information is not available"
85C,2140,"InternalError: An internal Windows 2000 error occurred"
85D,2141,"BadTransactConfig: The server is not configured for transactions"
85E,2142,"InvalidAPI: The requested API is not supported on the remote server"
85F,2143,"BadEventName: The event name is invalid"
860,2144,"The computer name already exists on the network. Change it and restart the computer"
862,2146,"CfgCompNotFound: The specified component could not be found in the configuration information LANMAN.INI"
863,2147,"CfgParamNotFound: The specified parameter could not be found in the configuration information LANMAN.INI"
865,2149,"LineTooLong: A line in the configuration file is too long"
866,2150,"QNotFound: The printer does not exist"
867,2151,"JobNotFound: The print job does not exist"
868,2152,"DestNotFound: The printer destination cannot be found"
869,2153,"DestExists: The printer destination already exists"
86A,2154,"QExists: The printer queue already exists"
86B,2155,"QNoRoom: No more printers can be added"
86C,2156,"JobNoRoom: No more print jobs can be added"
86D,2157,"DestNoRoom: No more printer destinations can be added"
86E,2158,"DestIdle: This printer destination is idle and cannot accept control operations"
86F,2159,"DestInvalidOp: This printer destination request contains an invalid control function"
870,2160,"ProcNoRespond: The print processor is not responding"
871,2161,"SpoolerNotLoaded: The spooler is not running"
872,2162,"DestInvalidState: This operation cannot be performed on the print destination in its current state"
873,2163,"QInvalidState: This operation cannot be performed on the printer queue in its current state"
874,2164,"JobInvalidState: This operation cannot be performed on the print job in its current state"
875,2165,"SpoolNoMemory: A spooler memory allocation failure occurred"
876,2166,"DriverNotFound: The device driver does not exist"
877,2167,"DataTypeInvalid: The data type is not supported by the print processor"
878,2168,"ProcNotFound: The print processor is not installed"
884,2180,"ServiceTableLocked: The service database is locked"
885,2181,"ServiceTableFull: The service table is full"
886,2182,"ServiceInstalled: The requested service has already been started"
887,2183,"ServiceEntryLocked: The service does not respond to control actions"
888,2184,"ServiceNotInstalled: The service has not been started"
889,2185,"BadServiceName: The service name is invalid"
88A,2186,"ServiceCtlTimeout: The service is not responding to the control function"
88B,2187,"ServiceCtlBusy: The service control is busy"
88C,2188,"BadServiceProgName: The configuration file contains an invalid service program name"
88D,2189,"ServiceNotCtrl: The service could not be controlled in its present state"
88E,2190,"ServiceKillProc: The service ended abnormally"
88F,2191,"ServiceCtlNotValid: The requested pause or stop is not valid for this service"
890,2192,"The service control dispatcher could not find the service name in the dispatch table"
891,2193,"The service control dispatcher pipe read failed"
892,2194,"A thread for the new service could not be created"
898,2200,"AlreadyLoggedOn: This workstation is already logged on to the local-area network"
899,2201,"NotLoggedOn: The workstation is not logged on to the local-area network"
89A,2202,"BadUsername: The specified username is invalid"
89B,2203,"BadPassword: The password parameter is invalid"
89C,2204,"UnableToAddName_W: The logon processor did not add the message alias"
89D,2205,"UnableToAddName_F: The logon processor did not add the message alias"
89E,2206,"UnableToDelName_W: The logoff processor did not delete the message alias"
89F,2207,"UnableToDelName_F: The logoff processor did not delete the message alias"
8A1,2209,"LogonsPaused: Network logons are paused"
8A2,2210,"LogonServerConflict: A centralized logon-server conflict occurred"
8A3,2211,"LogonNoUserPath: The server is configured without a valid user path"
8A4,2212,"LogonScriptError: An error occurred while loading or running the logon script"
8A6,2214,"StandaloneLogon: The logon server was not specified.  Your computer will be logged on as STANDALONE"
8A7,2215,"LogonServerNotFound: The logon server could not be found"
8A8,2216,"LogonDomainExists: There is already a logon domain for this computer"
8A9,2217,"NonValidatedLogon: The logon server could not validate the logon"
8AB,2219,"ACFNotFound: The security database could not be found"
8AC,2220,"GroupNotFound: The group name could not be found"
8AD,2221,"UserNotFound: The user name could not be found"
8AE,2222,"ResourceNotFound: The resource name could not be found"
8AF,2223,"GroupExists: The group already exists"
8B0,2224,"UserExists: The account already exists"
8B1,2225,"ResourceExists: The resource permission list already exists"
8B2,2226,"NotPrimary: This operation is only allowed on the primary domain controller of the domain"
8B3,2227,"ACFNotLoaded: The security database has not been started"
8B4,2228,"ACFNoRoom: There are too many names in the user accounts database"
8B5,2229,"ACFFileIOFail: A disk I/O failure occurred"
8B6,2230,"ACFTooManyLists: The limit of 64 entries per resource was exceeded"
8B7,2231,"UserLogon: Deleting a user with a session is not allowed"
8B8,2232,"ACFNoParent: The parent directory could not be located"
8B9,2233,"CanNotGrowSegment: Unable to add to the security database session cache segment"
8BA,2234,"SpeGroupOp: This operation is not allowed on this special group"
8BB,2235,"NotInCache: This user is not cached in user accounts database session cache"
8BC,2236,"UserInGroup: The user already belongs to this group"
8BD,2237,"UserNotInGroup: The user does not belong to this group"
8BE,2238,"AccountUndefined: This user account is undefined"
8BF,2239,"AccountExpired: This user account has expired"
8C0,2240,"InvalidWorkstation: The user is not allowed to log on from this workstation"
8C1,2241,"InvalidLogonHours: The user is not allowed to log on at this time"
8C2,2242,"PasswordExpired: The password of this user has expired"
8C3,2243,"PasswordCantChange: The password of this user cannot change"
8C4,2244,"PasswordHistConflict: This password cannot be used now"
8C5,2245,"PasswordTooShort: The password does not meet the password policy requirements. Check the minimum password length, password complexity and password history requirements"
8C6,2246,"PasswordTooRecent: The password of this user is too recent to change"
8C7,2247,"InvalidDatabase: The security database is corrupted"
8C8,2248,"DatabaseUpToDate: No updates are necessary to this replicant network/local security database"
8C9,2249,"SyncRequired: This replicant database is outdated; synchronization is required"
8CA,2250,"UseNotFound/NOT_CONNECTED: This network connection does not exist"
8CB,2251,"BadAsgType: This asg_type is invalid"
8CC,2252,"DeviceIsShared: This device is currently being shared"
8DE,2270,"NoComputerName: The computer name could not be added as a message alias.  The name may already exist on the network"
8DF,2271,"MsgAlreadyStarted: The Messenger service is already started"
8E0,2272,"MsgInitFailed: The Messenger service failed to start"
8E1,2273,"NameNotFound: The message alias could not be found on the network"
8E2,2274,"AlreadyForwarded: This message alias has already been forwarded"
8E3,2275,"AddForwarded: This message alias has been added but is still forwarded"
8E4,2276,"AlreadyExists: This message alias already exists locally"
8E5,2277,"TooManyNames: The maximum number of added message aliases has been exceeded"
8E6,2278,"DelComputerName: The computer name could not be deleted"
8E7,2279,"LocalForward: Messages cannot be forwarded back to the same workstation"
8E8,2280,"GrpMsgProcessor: An error occurred in the domain message processor"
8E9,2281,"PausedRemote: The message was sent, but the recipient has paused the Messenger service"
8EA,2282,"BadReceive: The message was sent but not received"
8EB,2283,"NameInUse: The message alias is currently in use. Try again later"
8EC,2284,"MsgNotStarted: The Messenger service has not been started"
8ED,2285,"NotLocalName: The name is not on the local computer"
8EE,2286,"NoForwardName: The forwarded message alias could not be found on the network"
8EF,2287,"RemoteFull: The message alias table on the remote station is full"
8F0,2288,"NameNotForwarded: Messages for this alias are not currently being forwarded"
8F1,2289,"TruncatedBroadcast: The broadcast message was truncated"
8F6,2294,"InvalidDevice: This is an invalid device name"
8F7,2295,"WriteFault: A write fault occurred"
8F9,2297,"DuplicateName: A duplicate message alias exists on the network"
8FA,2298,"DeleteLater: This message alias will be deleted later"
8FB,2299,"IncompleteDel: The message alias was not successfully deleted from all networks"
8FC,2300,"MultipleNets: This operation is not supported on computers with multiple networks"
906,2310,"NetNameNotFound: This shared resource does not exist"
907,2311,"DeviceNotShared: This device is not shared"
908,2312,"ClientNameNotFound: A session does not exist with that computer name"
90A,2314,"FileIdNotFound: There is not an open file with that identification number"
90B,2315,"ExecFailure: A failure occurred when executing a remote administration command"
90C,2316,"TmpFile: A failure occurred when opening a remote temporary file"
90D,2317,"TooMuchData: The data returned from a remote administration command has been truncated to 64K"
90E,2318,"DeviceShareConflict: This device cannot be shared as both a spooled and a non-spooled resource"
90F,2319,"BrowserTableIncomplete: The information in the list of servers may be incorrect"
910,2320,"NotLocalDomain: The computer is not active in this domain"
911,2321,"The share must be removed from the Distributed File System before it can be deleted"
91B,2331,"DevInvalidOpCode: The operation is invalid for this device"
91C,2332,"DevNotFound: This device cannot be shared"
91D,2333,"DevNotOpen: This device was not open"
91E,2334,"BadQueueDevString: This device name list is invalid"
91F,2335,"BadQueuePriority: The queue priority is invalid"
921,2337,"NoCommDevs: There are no shared communication devices"
922,2338,"QueueNotFound: The queue you specified does not exist"
924,2340,"BadDevString: This list of devices is invalid"
925,2341,"BadDev: The requested device is invalid"
926,2342,"InUseBySpooler: This device is already in use by the spooler"
927,2343,"CommDevInUse: This device is already in use as a communication device"
92F,2351,"InvalidComputer: This computer name is invalid"
932,2354,"MaxLenExceeded: The string and prefix specified are too long"
934,2356,"BadComponent: This path component is invalid"
935,2357,"CantType: Could not determine the type of input"
93A,2362,"TooManyEntries: The buffer for types is not big enough"
942,2370,"ProfileFileTooBig: Profile files cannot exceed 64K"
943,2371,"ProfileOffset: The start offset is out of range"
944,2372,"ProfileCleanup: The system cannot delete current connections to network resources"
945,2373,"ProfileUnknownCmd: The system was unable to parse the command line in this file"
946,2374,"ProfileLoadErr: An error occurred while loading the profile file"
947,2375,"ProfileSaveErr: Errors occurred while saving the profile file.  The profile was partially saved"
949,2377,"LogOverflow: This log file exceeds the maximum defined size"
94A,2378,"LogFileChanged: This log file has changed between reads"
94B,2379,"LogFileCorrupt: This log file is corrupt"
94C,2380,"SourceIsDir: The source path cannot be a directory"
94D,2381,"BadSource: The source path is illegal"
94E,2382,"BadDest: The destination path is illegal"
94F,2383,"DifferentServers: The source and destination paths are on different servers"
951,2385,"RunSrvPaused: The Run server you requested is paused"
